anio,mes,ruta,clasificacion_vuelo,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Río Gallegos - Puerto Argentino,cabotaje,Río Gallegos,Santa Cruz,Puerto Argentino,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",171,174,1,0.9828
2017,1,Río Gallegos - Punta Arenas,internacional,Río Gallegos,Santa Cruz,Punta Arenas,,119,144,1,0.8264
2017,1,Río Gallegos - Río Grande,cabotaje,Río Gallegos,Santa Cruz,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",151,278,8,0.5432
2017,1,Río Gallegos - Ushuaia,cabotaje,Río Gallegos,Santa Cruz,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",434,512,4,0.8477
2017,1,Río Grande - Ciudad de Buenos Aires,cabotaje,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,3481,3721,36,0.9355
2017,1,Río Grande - Ezeiza,cabotaje,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ezeiza,Buenos Aires,2557,3008,27,0.8501
2017,1,Río Grande - Ushuaia,cabotaje,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",95,206,8,0.4612
2017,1,Río de Janeiro - Ciudad de Buenos Aires,internacional,Río de Janeiro,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,16125,19033,124,0.8472
2017,1,Río de Janeiro - Córdoba,internacional,Río de Janeiro,,Córdoba,Córdoba,5669,6565,37,0.8635
2017,1,Río de Janeiro - Ezeiza,internacional,Río de Janeiro,,Ezeiza,Buenos Aires,32436,40759,209,0.7958
2017,1,Río de Janeiro - Mendoza,internacional,Río de Janeiro,,Mendoza,Mendoza,350,735,4,0.4762
2017,1,Río de Janeiro - Rosario,internacional,Río de Janeiro,,Rosario,Santa Fe,3795,4484,26,0.8463
2017,1,Salta - Ciudad de Buenos Aires,cabotaje,Salta,Salta,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,35256,41273,276,0.8542
2017,1,Salta - Córdoba,cabotaje,Salta,Salta,Córdoba,Córdoba,1655,2030,22,0.8153
2017,1,Salta - Ezeiza,cabotaje,Salta,Salta,Ezeiza,Buenos Aires,2382,3085,33,0.7721
2017,1,Salta - Iquique,internacional,Salta,Salta,Iquique,,1177,1218,7,0.9663
2017,1,Salta - La Rioja,cabotaje,Salta,Salta,La Rioja,La Rioja,147,248,2,0.5927
2017,1,Salta - Lima,internacional,Salta,Salta,Lima,,2178,2232,13,0.9758
2017,1,Salta - Mendoza,cabotaje,Salta,Salta,Mendoza,Mendoza,968,1584,17,0.6111
2017,1,Salta - Puerto Iguazú,cabotaje,Salta,Salta,Puerto Iguazú,Misiones,1547,1802,18,0.8585
2017,1,Salta - Rosario,cabotaje,Salta,Salta,Rosario,Santa Fe,842,1200,14,0.7017
2017,1,Salta - San Miguel de Tucumán,cabotaje,Salta,Salta,San Miguel de Tucumán,Tucumán,37,85,1,0.4353
2017,1,Salta - San Salvador de Jujuy,cabotaje,Salta,Salta,San Salvador de Jujuy,Jujuy,136,332,4,0.4096
2017,1,Salta - Santa Cruz de la Sierra,internacional,Salta,Salta,Santa Cruz de la Sierra,,1496,1650,12,0.9067
2017,1,Salvador - Ciudad de Buenos Aires,internacional,Salvador,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,1211,1360,8,0.8904
2017,1,Salvador - Córdoba,internacional,Salvador,,Córdoba,Córdoba,571,680,4,0.8397
2017,1,Salvador - Ezeiza,internacional,Salvador,,Ezeiza,Buenos Aires,3132,3769,22,0.831
2017,1,San Carlos de Bariloche - Ciudad de Buenos Aires,cabotaje,San Carlos de Bariloche,Río Negro,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,46628,55553,361,0.8393
2017,1,San Carlos de Bariloche - Comodoro Rivadavia,cabotaje,San Carlos de Bariloche,Río Negro,Comodoro Rivadavia,Chubut,121,268,9,0.4515
2017,1,San Carlos de Bariloche - Córdoba,cabotaje,San Carlos de Bariloche,Río Negro,Córdoba,Córdoba,2711,3508,28,0.7728
2017,1,San Carlos de Bariloche - El Calafate,cabotaje,San Carlos de Bariloche,Río Negro,El Calafate,Santa Cruz,3214,5270,31,0.6099
2017,1,San Carlos de Bariloche - Ezeiza,cabotaje,San Carlos de Bariloche,Río Negro,Ezeiza,Buenos Aires,5834,7747,45,0.7531
2017,1,San Carlos de Bariloche - Mar del Plata,cabotaje,San Carlos de Bariloche,Río Negro,Mar del Plata,Buenos Aires,234,248,2,0.9435
2017,1,San Carlos de Bariloche - Mendoza,cabotaje,San Carlos de Bariloche,Río Negro,Mendoza,Mendoza,404,413,3,0.9782
2017,1,San Carlos de Bariloche - Neuquén,cabotaje,San Carlos de Bariloche,Río Negro,Neuquén,Neuquén,16,16,3,1.0
2017,1,San Carlos de Bariloche - Puerto Madryn,cabotaje,San Carlos de Bariloche,Río Negro,Puerto Madryn,Chubut,51,77,3,0.6623
2017,1,San Carlos de Bariloche - Rosario,cabotaje,San Carlos de Bariloche,Río Negro,Rosario,Santa Fe,1333,1893,15,0.7042
2017,1,San Carlos de Bariloche - San Martín de los Andes,cabotaje,San Carlos de Bariloche,Río Negro,San Martín de los Andes,Neuquén,3,21,2,0.1429
2017,1,San Carlos de Bariloche - Santa Fe,cabotaje,San Carlos de Bariloche,Río Negro,Santa Fe,Santa Fe,77,83,1,0.9277
2017,1,San Carlos de Bariloche - Viedma,cabotaje,San Carlos de Bariloche,Río Negro,Viedma,Río Negro,684,1680,18,0.4071
2017,1,San Fernando del Valle de Catamarca - Ciudad de Buenos Aires,cabotaje,San Fernando del Valle de Catamarca,Catamarca,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2007,3456,41,0.5807
2017,1,San Fernando del Valle de Catamarca - La Rioja,cabotaje,San Fernando del Valle de Catamarca,Catamarca,La Rioja,La Rioja,364,1104,13,0.3297
2017,1,San Juan - Ciudad de Buenos Aires,cabotaje,San Juan,San Juan,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,4278,5411,50,0.7906
2017,1,San Juan - Ezeiza,cabotaje,San Juan,San Juan,Ezeiza,Buenos Aires,1678,2284,25,0.7347
2017,1,San Juan - Mendoza,cabotaje,San Juan,San Juan,Mendoza,Mendoza,623,1764,17,0.3532
2017,1,San Juan - Río Cuarto,cabotaje,San Juan,San Juan,Río Cuarto,Córdoba,128,165,1,0.7758
2017,1,San Luis - Ciudad de Buenos Aires,cabotaje,San Luis,San Luis,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,3341,4512,48,0.7405
2017,1,San Martín de los Andes - Ciudad de Buenos Aires,cabotaje,San Martín de los Andes,Neuquén,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,4887,5894,45,0.8291
2017,1,San Martín de los Andes - Neuquén,cabotaje,San Martín de los Andes,Neuquén,Neuquén,Neuquén,48,97,3,0.4948
2017,1,San Martín de los Andes - San Carlos de Bariloche,cabotaje,San Martín de los Andes,Neuquén,San Carlos de Bariloche,Río Negro,2,20,2,0.1
2017,1,San Miguel de Tucumán - Ciudad de Buenos Aires,cabotaje,San Miguel de Tucumán,Tucumán,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,27060,30126,208,0.8982
2017,1,San Miguel de Tucumán - Córdoba,cabotaje,San Miguel de Tucumán,Tucumán,Córdoba,Córdoba,1025,1348,13,0.7604
2017,1,San Miguel de Tucumán - Ezeiza,cabotaje,San Miguel de Tucumán,Tucumán,Ezeiza,Buenos Aires,85,85,1,1.0
2017,1,San Miguel de Tucumán - Mar del Plata,cabotaje,San Miguel de Tucumán,Tucumán,Mar del Plata,Buenos Aires,1716,2016,21,0.8512
2017,1,San Miguel de Tucumán - Resistencia,cabotaje,San Miguel de Tucumán,Tucumán,Resistencia,Chaco,1,83,1,0.012
2017,1,San Miguel de Tucumán - San Salvador de Jujuy,cabotaje,San Miguel de Tucumán,Tucumán,San Salvador de Jujuy,Jujuy,152,165,1,0.9212
2017,1,San Rafael - Ciudad de Buenos Aires,cabotaje,San Rafael,Mendoza,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2649,2880,32,0.9198
2017,1,San Salvador de Jujuy - Ciudad de Buenos Aires,cabotaje,San Salvador de Jujuy,Jujuy,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,8852,10113,100,0.8753
2017,1,San Salvador de Jujuy - Córdoba,cabotaje,San Salvador de Jujuy,Jujuy,Córdoba,Córdoba,1554,1728,19,0.8993
2017,1,San Salvador de Jujuy - Salta,cabotaje,San Salvador de Jujuy,Jujuy,Salta,Salta,35,83,1,0.4217
2017,1,Santa Cruz de la Sierra - Ciudad de Buenos Aires,internacional,Santa Cruz de la Sierra,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,4815,6120,36,0.7868
2017,1,Santa Cruz de la Sierra - Ezeiza,internacional,Santa Cruz de la Sierra,,Ezeiza,Buenos Aires,6495,7606,47,0.8539
2017,1,Santa Cruz de la Sierra - Salta,internacional,Santa Cruz de la Sierra,,Salta,Salta,1191,1650,12,0.7218
2017,1,Santa Fe - Ciudad de Buenos Aires,cabotaje,Santa Fe,Santa Fe,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2811,4297,45,0.6542
2017,1,Santa Fe - San Carlos de Bariloche,cabotaje,Santa Fe,Santa Fe,San Carlos de Bariloche,Río Negro,77,83,1,0.9277
2017,1,Santa Rosa - Ciudad de Buenos Aires,cabotaje,Santa Rosa,La Pampa,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,1551,2304,26,0.6732
2017,1,Santiago - Ciudad de Buenos Aires,internacional,Santiago,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,32097,39649,236,0.8095
2017,1,Santiago - Córdoba,internacional,Santiago,,Córdoba,Córdoba,11401,13960,76,0.8167
2017,1,Santiago - Ezeiza,internacional,Santiago,,Ezeiza,Buenos Aires,58541,76417,335,0.7661
2017,1,Santiago - Mendoza,internacional,Santiago,,Mendoza,Mendoza,14897,18642,110,0.7991
2017,1,Santiago del Estero - Ciudad de Buenos Aires,cabotaje,Santiago del Estero,Santiago del Estero,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,3380,4352,47,0.7767
2017,1,Santiago del Estero - Ezeiza,cabotaje,Santiago del Estero,Santiago del Estero,Ezeiza,Buenos Aires,124,144,2,0.8611
2017,1,São Paulo - Ciudad de Buenos Aires,internacional,São Paulo,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,37713,47300,278,0.7973
2017,1,São Paulo - Córdoba,internacional,São Paulo,,Córdoba,Córdoba,5860,7183,33,0.8158
2017,1,São Paulo - Ezeiza,internacional,São Paulo,,Ezeiza,Buenos Aires,34832,47697,204,0.7303
2017,1,São Paulo - Mendoza,internacional,São Paulo,,Mendoza,Mendoza,1136,1620,9,0.7012
2017,1,São Paulo - Rosario,internacional,São Paulo,,Rosario,Santa Fe,5700,6820,31,0.8358
2017,1,Trelew - Ciudad de Buenos Aires,cabotaje,Trelew,Chubut,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,5591,6172,51,0.9059
2017,1,Trelew - Ezeiza,cabotaje,Trelew,Chubut,Ezeiza,Buenos Aires,4644,6742,47,0.6888
2017,1,Trelew - Ushuaia,cabotaje,Trelew,Chubut,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2589,5318,32,0.4868
2017,1,Ushuaia - Ciudad de Buenos Aires,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,24813,28126,182,0.8822
2017,1,Ushuaia - Córdoba,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Córdoba,Córdoba,1542,1680,18,0.9179
2017,1,Ushuaia - El Calafate,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",El Calafate,Santa Cruz,11266,12724,75,0.8854
2017,1,Ushuaia - Ezeiza,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ezeiza,Buenos Aires,8997,11542,50,0.7795
2017,1,Ushuaia - Punta Arenas,internacional,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Punta Arenas,,28,40,2,0.7
2017,1,Ushuaia - Río Gallegos,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Gallegos,Santa Cruz,402,838,15,0.4797
2017,1,Ushuaia - Trelew,cabotaje,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Trelew,Chubut,2186,5270,31,0.4148
2017,1,Viedma - Ciudad de Buenos Aires,cabotaje,Viedma,Río Negro,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,1198,1680,18,0.7131
2017,1,Viedma - San Carlos de Bariloche,cabotaje,Viedma,Río Negro,San Carlos de Bariloche,Río Negro,371,864,9,0.4294
2017,2,Amsterdam - Ezeiza,internacional,Amsterdam,,Ezeiza,Buenos Aires,7495,8245,20,0.909
2017,2,Asunción - Ciudad de Buenos Aires,internacional,Asunción,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2116,2688,28,0.7872
2017,2,Asunción - Córdoba,internacional,Asunción,,Córdoba,Córdoba,2051,4784,16,0.4287
2017,2,Asunción - Ezeiza,internacional,Asunción,,Ezeiza,Buenos Aires,8313,12230,85,0.6797
2017,2,Atlanta - Ezeiza,internacional,Atlanta,,Ezeiza,Buenos Aires,7692,8204,28,0.9376
2017,2,Auckland - Ezeiza,internacional,Auckland,,Ezeiza,Buenos Aires,4228,4832,16,0.875
2017,2,Bahía Blanca - Ciudad de Buenos Aires,cabotaje,Bahía Blanca,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,11584,13454,109,0.861
2017,2,Bahía Blanca - Comodoro Rivadavia,cabotaje,Bahía Blanca,Buenos Aires,Comodoro Rivadavia,Chubut,138,149,2,0.9262
2017,2,Bahía Blanca - Ezeiza,cabotaje,Bahía Blanca,Buenos Aires,Ezeiza,Buenos Aires,203,253,2,0.8024
2017,2,Barcelona - Ezeiza,internacional,Barcelona,,Ezeiza,Buenos Aires,5080,5783,20,0.8784
2017,2,Bogotá - Ezeiza,internacional,Bogotá,,Ezeiza,Buenos Aires,15951,16891,67,0.9443
2017,2,Brasilia - Ezeiza,internacional,Brasilia,,Ezeiza,Buenos Aires,5522,5720,26,0.9654
2017,2,Cabo Frio - Ciudad de Buenos Aires,internacional,Cabo Frio,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,158,165,1,0.9576
2017,2,Cancún - Ezeiza,internacional,Cancún,,Ezeiza,Buenos Aires,5088,5171,18,0.9839
2017,2,Caracas - Ezeiza,internacional,Caracas,,Ezeiza,Buenos Aires,2760,3144,6,0.8779
2017,2,Cayo Coco - Ezeiza,internacional,Cayo Coco,,Ezeiza,Buenos Aires,252,262,1,0.9618
2017,2,Ciudad de Buenos Aires - Asunción,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Asunción,,2158,2688,28,0.8028
2017,2,Ciudad de Buenos Aires - Bahía Blanca,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bahía Blanca,Buenos Aires,11740,13794,111,0.8511
2017,2,Ciudad de Buenos Aires - Cabo Frio,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cabo Frio,,306,330,2,0.9273
2017,2,Ciudad de Buenos Aires - Comodoro Rivadavia,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Comodoro Rivadavia,Chubut,16761,19363,145,0.8656
2017,2,Ciudad de Buenos Aires - Corrientes,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Corrientes,Corrientes,4278,4944,49,0.8653
