anio,mes,ruta,clasificacion_vuelo,aerolinea,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Ezeiza - Salta,cabotaje,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Salta,Salta,2024,2928,31,0.6913
2017,1,Ezeiza - Salta,cabotaje,LATAM,Ezeiza,Buenos Aires,Salta,Salta,121,168,2,0.7202
2017,1,Ezeiza - Salvador,internacional,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Salvador,,4873,5270,31,0.9247
2017,1,Ezeiza - Salvador,internacional,Andes Líneas Aéreas,Ezeiza,Buenos Aires,Salvador,,415,495,3,0.8384
2017,1,Ezeiza - Salvador,internacional,Gol Transportes Aéreos,Ezeiza,Buenos Aires,Salvador,,628,726,4,0.865
2017,1,Ezeiza - San Carlos de Bariloche,cabotaje,Aerolíneas Argentinas,Ezeiza,Buenos Aires,San Carlos de Bariloche,Río Negro,4628,5821,38,0.7951
2017,1,Ezeiza - San Carlos de Bariloche,cabotaje,LATAM,Ezeiza,Buenos Aires,San Carlos de Bariloche,Río Negro,222,252,2,0.881
2017,1,Ezeiza - San Juan,cabotaje,Andes Líneas Aéreas,Ezeiza,Buenos Aires,San Juan,San Juan,81,83,1,0.9759
2017,1,Ezeiza - San Luis,cabotaje,Aerolíneas Argentinas,Ezeiza,Buenos Aires,San Luis,San Luis,54,96,1,0.5625
2017,1,Ezeiza - Santa Cruz de la Sierra,internacional,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Santa Cruz de la Sierra,,2316,2778,22,0.8337
2017,1,Ezeiza - Santa Cruz de la Sierra,internacional,Boliviana de Aviación,Ezeiza,Buenos Aires,Santa Cruz de la Sierra,,6022,6356,34,0.9475
2017,1,Ezeiza - Santiago,internacional,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Santiago,,4296,5060,31,0.849
2017,1,Ezeiza - Santiago,internacional,Air Canada,Ezeiza,Buenos Aires,Santiago,,11057,13500,30,0.819
2017,1,Ezeiza - Santiago,internacional,KLM,Ezeiza,Buenos Aires,Santiago,,6352,9027,22,0.7037
2017,1,Ezeiza - Santiago,internacional,LATAM,Ezeiza,Buenos Aires,Santiago,,29973,34378,157,0.8719
2017,1,Ezeiza - Santiago,internacional,Sky Airline,Ezeiza,Buenos Aires,Santiago,,11545,14532,93,0.7945
2017,1,Ezeiza - São Paulo,internacional,Aerolíneas Argentinas,Ezeiza,Buenos Aires,São Paulo,,1948,2224,17,0.8759
2017,1,Ezeiza - São Paulo,internacional,Gol Transportes Aéreos,Ezeiza,Buenos Aires,São Paulo,,9844,11199,62,0.879
2017,1,Ezeiza - São Paulo,internacional,LATAM,Ezeiza,Buenos Aires,São Paulo,,13430,13845,63,0.97
2017,1,Ezeiza - São Paulo,internacional,Qatar Airways,Ezeiza,Buenos Aires,São Paulo,,10300,10799,31,0.9538
2017,1,Ezeiza - São Paulo,internacional,Turkish Airlines,Ezeiza,Buenos Aires,São Paulo,,5323,5933,17,0.8972
2017,1,Ezeiza - Trelew,cabotaje,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Trelew,Chubut,3417,5318,33,0.6425
2017,1,Ezeiza - Ushuaia,cabotaje,Aerolíneas Argentinas,Ezeiza,Buenos Aires,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",9714,11951,51,0.8128
2017,1,Ezeiza - Ushuaia,cabotaje,Andes Líneas Aéreas,Ezeiza,Buenos Aires,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",148,165,1,0.897
2017,1,Ezeiza - Ushuaia,cabotaje,LATAM,Ezeiza,Buenos Aires,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",79,84,1,0.9405
2017,1,Ezeiza - Ushuaia,cabotaje,Lufthansa,Ezeiza,Buenos Aires,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",140,149,1,0.9396
2017,1,Florianópolis - Ciudad de Buenos Aires,internacional,Aerolíneas Argentinas,Florianópolis,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,8839,12092,72,0.731
2017,1,Florianópolis - Ciudad de Buenos Aires,internacional,Andes Líneas Aéreas,Florianópolis,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,305,330,2,0.9242
2017,1,Florianópolis - Córdoba,internacional,Aerolíneas Argentinas,Florianópolis,,Córdoba,Córdoba,586,768,8,0.763
2017,1,Florianópolis - Córdoba,internacional,LATAM,Florianópolis,,Córdoba,Córdoba,486,504,3,0.9643
2017,1,Florianópolis - Ezeiza,internacional,Gol Transportes Aéreos,Florianópolis,,Ezeiza,Buenos Aires,5274,7362,41,0.7164
2017,1,Florianópolis - Mendoza,internacional,Aerolíneas Argentinas,Florianópolis,,Mendoza,Mendoza,364,680,4,0.5353
2017,1,Florianópolis - Rosario,internacional,Aerolíneas Argentinas,Florianópolis,,Rosario,Santa Fe,410,512,4,0.8008
2017,1,Formosa - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Formosa,Formosa,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,4512,5040,53,0.8952
2017,1,Fortaleza - Ezeiza,internacional,Gol Transportes Aéreos,Fortaleza,,Ezeiza,Buenos Aires,535,726,4,0.7369
2017,1,Frankfurt Am Main - Ezeiza,internacional,Lufthansa,Frankfurt Am Main,,Ezeiza,Buenos Aires,9396,11045,30,0.8507
2017,1,Houston - Ezeiza,internacional,United Airlines,Houston,,Ezeiza,Buenos Aires,6944,8046,30,0.863
2017,1,Iquique - Salta,internacional,LATAM,Iquique,,Salta,Salta,944,1218,7,0.775
2017,1,La Habana - Ezeiza,internacional,Cubana de Aviación,La Habana,,Ezeiza,Buenos Aires,940,1048,4,0.8969
2017,1,La Rioja - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,La Rioja,La Rioja,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,1870,3168,37,0.5903
2017,1,La Rioja - San Fernando del Valle de Catamarca,cabotaje,Aerolíneas Argentinas,La Rioja,La Rioja,San Fernando del Valle de Catamarca,Catamarca,522,1536,16,0.3398
2017,1,La Rioja - San Juan,cabotaje,Andes Líneas Aéreas,La Rioja,La Rioja,San Juan,San Juan,78,83,1,0.9398
2017,1,Lima - Córdoba,internacional,LATAM,Lima,,Córdoba,Córdoba,5473,6600,30,0.8292
2017,1,Lima - Ezeiza,internacional,Aerolíneas Argentinas,Lima,,Ezeiza,Buenos Aires,4346,5270,31,0.8247
2017,1,Lima - Ezeiza,internacional,Avianca,Lima,,Ezeiza,Buenos Aires,12144,13731,62,0.8844
2017,1,Lima - Ezeiza,internacional,Copa Airlines,Lima,,Ezeiza,Buenos Aires,150,154,1,0.974
2017,1,Lima - Ezeiza,internacional,LATAM,Lima,,Ezeiza,Buenos Aires,20526,22687,120,0.9047
2017,1,Lima - Rosario,internacional,LATAM,Lima,,Rosario,Santa Fe,3661,4584,31,0.7986
2017,1,Lima - Salta,internacional,LATAM,Lima,,Salta,Salta,1860,2232,13,0.8333
2017,1,Londres - Ezeiza,internacional,British Airways,Londres,,Ezeiza,Buenos Aires,7241,8569,31,0.845
2017,1,Maceió - Córdoba,internacional,LATAM,Maceió,,Córdoba,Córdoba,498,505,3,0.9861
2017,1,Madrid - Ezeiza,internacional,Aerolíneas Argentinas,Madrid,,Ezeiza,Buenos Aires,7206,8401,31,0.8578
2017,1,Madrid - Ezeiza,internacional,Air Europa,Madrid,,Ezeiza,Buenos Aires,8597,9248,31,0.9296
2017,1,Madrid - Ezeiza,internacional,Iberia Airlines,Madrid,,Ezeiza,Buenos Aires,17417,21334,61,0.8164
2017,1,Mar del Plata - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Mar del Plata,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,11445,13020,114,0.879
2017,1,Mar del Plata - Ciudad de Buenos Aires,cabotaje,Andes Líneas Aéreas,Mar del Plata,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2353,3221,23,0.7305
2017,1,Mar del Plata - Ciudad de Buenos Aires,cabotaje,LATAM,Mar del Plata,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,61,84,1,0.7262
2017,1,Mar del Plata - Córdoba,cabotaje,Aerolíneas Argentinas,Mar del Plata,Buenos Aires,Córdoba,Córdoba,2418,3024,33,0.7996
2017,1,Mar del Plata - Mendoza,cabotaje,Aerolíneas Argentinas,Mar del Plata,Buenos Aires,Mendoza,Mendoza,1097,1248,13,0.879
2017,1,Mar del Plata - Neuquén,cabotaje,LADE - Líneas Aéreas Del Estado,Mar del Plata,Buenos Aires,Neuquén,Neuquén,213,225,8,0.9467
2017,1,Mar del Plata - Rosario,cabotaje,Aerolíneas Argentinas,Mar del Plata,Buenos Aires,Rosario,Santa Fe,1072,1296,14,0.8272
2017,1,Mar del Plata - San Miguel de Tucumán,cabotaje,Aerolíneas Argentinas,Mar del Plata,Buenos Aires,San Miguel de Tucumán,Tucumán,1682,2016,21,0.8343
2017,1,Mendoza - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,18503,23482,173,0.788
2017,1,Mendoza - Ciudad de Buenos Aires,cabotaje,LATAM,Mendoza,Mendoza,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,12034,15730,94,0.765
2017,1,Mendoza - Córdoba,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Córdoba,Córdoba,5231,7879,61,0.6639
2017,1,Mendoza - Ezeiza,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Ezeiza,Buenos Aires,4431,5808,62,0.7629
2017,1,Mendoza - Ezeiza,cabotaje,LATAM,Mendoza,Mendoza,Ezeiza,Buenos Aires,390,699,6,0.5579
2017,1,Mendoza - Florianópolis,internacional,Aerolíneas Argentinas,Mendoza,Mendoza,Florianópolis,,611,680,4,0.8985
2017,1,Mendoza - Mar del Plata,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Mar del Plata,Buenos Aires,1214,1248,13,0.9728
2017,1,Mendoza - Neuquén,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Neuquén,Neuquén,2165,5270,31,0.4108
2017,1,Mendoza - Rosario,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Rosario,Santa Fe,1465,2592,28,0.5652
2017,1,Mendoza - Río de Janeiro,internacional,Gol Transportes Aéreos,Mendoza,Mendoza,Río de Janeiro,,625,735,4,0.8503
2017,1,Mendoza - Salta,cabotaje,Aerolíneas Argentinas,Mendoza,Mendoza,Salta,Salta,854,1632,17,0.5233
2017,1,Mendoza - San Carlos de Bariloche,cabotaje,Andes Líneas Aéreas,Mendoza,Mendoza,San Carlos de Bariloche,Río Negro,3,165,1,0.0182
2017,1,Mendoza - Santiago,internacional,LATAM,Mendoza,Mendoza,Santiago,,14047,15834,92,0.8871
2017,1,Mendoza - Santiago,internacional,Sky Airline,Mendoza,Mendoza,Santiago,,2243,2808,18,0.7988
2017,1,Mendoza - São Paulo,internacional,Gol Transportes Aéreos,Mendoza,Mendoza,São Paulo,,1444,1620,9,0.8914
2017,1,Miami - Ezeiza,internacional,Aerolíneas Argentinas,Miami,,Ezeiza,Buenos Aires,16302,19428,71,0.8391
2017,1,Miami - Ezeiza,internacional,American Airlines,Miami,,Ezeiza,Buenos Aires,17232,21958,74,0.7848
2017,1,Miami - Ezeiza,internacional,LATAM,Miami,,Ezeiza,Buenos Aires,9113,10608,48,0.8591
2017,1,Montevideo - Ciudad de Buenos Aires,internacional,Aerolíneas Argentinas,Montevideo,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,6466,9498,92,0.6808
2017,1,Montevideo - Ciudad de Buenos Aires,internacional,Amaszonas,Montevideo,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,512,1000,20,0.512
2017,1,Montevideo - Ezeiza,internacional,Aerolíneas Argentinas,Montevideo,,Ezeiza,Buenos Aires,1386,2496,26,0.5553
2017,1,Montevideo - Ezeiza,internacional,Air France,Montevideo,,Ezeiza,Buenos Aires,2032,5912,21,0.3437
2017,1,Montevideo - Puerto Iguazú,internacional,LATAM,Montevideo,,Puerto Iguazú,Misiones,238,336,2,0.7083
2017,1,Munich - Ezeiza,internacional,Lufthansa,Munich,,Ezeiza,Buenos Aires,259,297,1,0.8721
2017,1,México Df - Ezeiza,internacional,Aerolíneas Argentinas,México Df,,Ezeiza,Buenos Aires,216,292,1,0.7397
2017,1,México Df - Ezeiza,internacional,Aeroméxico,México Df,,Ezeiza,Buenos Aires,9511,12381,47,0.7682
2017,1,Natal - Ezeiza,internacional,Gol Transportes Aéreos,Natal,,Ezeiza,Buenos Aires,423,531,3,0.7966
2017,1,Neuquén - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Neuquén,Neuquén,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,14789,16941,140,0.873
2017,1,Neuquén - Ciudad de Buenos Aires,cabotaje,LATAM,Neuquén,Neuquén,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,11987,14045,84,0.8535
2017,1,Neuquén - Comodoro Rivadavia,cabotaje,Aerolíneas Argentinas,Neuquén,Neuquén,Comodoro Rivadavia,Chubut,3190,5270,31,0.6053
2017,1,Neuquén - Comodoro Rivadavia,cabotaje,LADE - Líneas Aéreas Del Estado,Neuquén,Neuquén,Comodoro Rivadavia,Chubut,70,133,7,0.5263
2017,1,Neuquén - Ezeiza,cabotaje,Aerolíneas Argentinas,Neuquén,Neuquén,Ezeiza,Buenos Aires,402,638,4,0.6301
2017,1,Neuquén - Mar del Plata,cabotaje,LADE - Líneas Aéreas Del Estado,Neuquén,Neuquén,Mar del Plata,Buenos Aires,131,136,4,0.9632
2017,1,Neuquén - Mendoza,cabotaje,Aerolíneas Argentinas,Neuquén,Neuquén,Mendoza,Mendoza,2018,5270,31,0.3829
2017,1,Neuquén - San Carlos de Bariloche,cabotaje,LADE - Líneas Aéreas Del Estado,Neuquén,Neuquén,San Carlos de Bariloche,Río Negro,78,79,4,0.9873
2017,1,Neuquén - San Martín de los Andes,cabotaje,LADE - Líneas Aéreas Del Estado,Neuquén,Neuquén,San Martín de los Andes,Neuquén,4,21,3,0.1905
2017,1,Nueva York - Ezeiza,internacional,Aerolíneas Argentinas,Nueva York,,Ezeiza,Buenos Aires,6175,8399,31,0.7352
2017,1,Nueva York - Ezeiza,internacional,American Airlines,Nueva York,,Ezeiza,Buenos Aires,5829,7800,30,0.7473
2017,1,Panama City - Ezeiza,internacional,Copa Airlines,Panama City,,Ezeiza,Buenos Aires,152,154,1,0.987
2017,1,Panamá - Córdoba,internacional,Copa Airlines,Panamá,,Córdoba,Córdoba,3859,4774,31,0.8083
2017,1,Panamá - Ezeiza,internacional,Copa Airlines,Panamá,,Ezeiza,Buenos Aires,8727,10164,66,0.8586
2017,1,Panamá - Rosario,internacional,Copa Airlines,Panamá,,Rosario,Santa Fe,3579,4774,31,0.7497
2017,1,Paraná - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Paraná,Entre Ríos,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,1574,2400,26,0.6558
2017,1,París - Ezeiza,internacional,Air France,París,,Ezeiza,Buenos Aires,8092,8776,31,0.9221
2017,1,Perito Moreno - Comodoro Rivadavia,cabotaje,LADE - Líneas Aéreas Del Estado,Perito Moreno,Santa Cruz,Comodoro Rivadavia,Chubut,2,20,2,0.1
2017,1,Perito Moreno - El Calafate,cabotaje,LADE - Líneas Aéreas Del Estado,Perito Moreno,Santa Cruz,El Calafate,Santa Cruz,5,38,2,0.1316
2017,1,Porto Alegre - Ciudad de Buenos Aires,internacional,Aerolíneas Argentinas,Porto Alegre,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2243,2912,30,0.7703
